"artist_name","avg_track_popularity"
"Adam Port","91.0"
"Gotye","80.0"
"Wuki","75.0"
"Gordo","75.0"
"PAWSA","74.5"
"Dom Dolla","73.5"
"ANOTR","73.0"
"Marlon Hoffstadt","73.0"
"Sosa UK","71.0"
"Bob Marley & The Wailers","71.0"
"Loofy","71.0"
"Sonny Fodera","71.0"
"Oden & Fatzo","70.0"
"Vintage Culture","70.0"
"Taylor Swift","68.0"
"Torren Foot","68.0"
"FISHER","68.0"
"Mr. Belt & Wezol","68.0"
"Jamie xx","67.0"
"BLOND:ISH","67.0"
"Barry Can't Swim","67.0"
"Peggy Gou","67.0"
"NOIT","67.0"
"Diplo","66.5"
"Sem Jacobs","66.0"
"HUGEL","66.0"
"Obskür","66.0"
"Cloonee","66.0"
"The Blessed Madonna","65.5"
"Rivo","64.0"
"Alok","64.0"
"Maz","64.0"
"Sunday Scaries","64.0"
"Sean Paul","63.0"
"Azari & III","63.0"
"The Outfield","63.0"
"DJ Snake","62.0"
"Borai & Denham Audio","62.0"
"James Hype","62.0"
"AYYBO","61.5"
"Chris Lake","61.333333333333336"
"Jerry Ropero","61.0"
"Alex Wann","60.0"
"KETTAMA","59.0"
"Armin van Buuren","59.0"
"Gorgon City","59.0"
"Mau P","59.0"
"War","58.0"
"Mohtiv","58.0"
"Ahadadream","58.0"
"WEISS","58.0"
"Jamie Jones","57.0"
"Cajmere","57.0"
"Todd Terry","57.0"
"Snakehips","56.0"
"Matroda","56.0"
"Joshwa","55.0"
"Rossi.","55.0"
"Badger","55.0"
"Roger Sanchez","55.0"
"Don Toliver","54.0"
"Skepta","54.0"
"Chambord","54.0"
"The Chemical Brothers","54.0"
"Carlita","54.0"
"Joe Hunt","54.0"
"Max Styler","53.0"
"Yvvan Back","53.0"
"Jackie Hollander","53.0"
"Mochakk","53.0"
"Prospa","52.0"
"Martin Ikin","52.0"
"Dennis Cruz","52.0"
"SCRIPT","52.0"
"Blackchild (ITA)","51.0"
"James View","51.0"
"Franky Rizardo","51.0"
"IDRIS","50.0"
"Kyle Watson","48.0"
"Green Velvet","48.0"
"Azzecca","47.0"
"Nic Fanciulli","45.0"
"Selena Faider","43.0"
"Floorplan","41.0"
"Chloé Caillet","40.0"
"Jayda G","34.0"
"Luuk Van Dijk","0.0"
