"track_name","artist_name","album_name","track_popularity"
"Never Walk Alone","BLOND:ISH","Never Walk Alone","67"
"No Boys Allowed - OG House Mix","Mochakk","Locomotiva Ibiza 2099 II","53"
"4U","Matroda","4U","56"
"Boost Up","FISHER","Boost Up","68"
"Get Busy - Odd Mob Club Mix","Sean Paul","Get Busy (Odd Mob Club Mix)","63"
"Move","Adam Port","Move","91"
"All My Friends Are Hot","Jackie Hollander","All My Friends Are Hot","53"
"TOO COOL TO BE CARELESS","PAWSA","TOO COOL TO BE CARELESS","74"
"Receipts (feat. Gunna)","Diplo","Receipts (feat. Gunna)","68"
"Find The Way","Peggy Gou","Find The Way","67"
"CORAÇAO - 20th Anniversary Mix","Jerry Ropero","CORAÇAO (20th Anniversary Mix)","61"
"Set Me Free (feat. Robert Courtois)","Nic Fanciulli","Set Me Free (feat. Robert Courtois)","45"
"Tell Me What You Want","Oden & Fatzo","Tell Me What You Want","70"
"B Good","Chloé Caillet","B Good","40"
"Feel My Needs","WEISS","Feel My Needs","58"
"Sideways","Gordo","DIAMANTE","75"
"It's That Time - FISHER Remix","Marlon Hoffstadt","It's That Time (FISHER Remix)","73"
"La Musa (with Miluhska)","Jamie Jones","La Musa (with Miluhska)","57"
"Bandit - Club Mix","Don Toliver","Bandit (Club Mix)","54"
"Shake Body","IDRIS","Shake Body","50"
"GLIMMER.","Snakehips","SNAKEGANG EP Volume 1","56"
"Feeling Alive","Jayda G","Feeling Alive","34"
"Good 4 U","Luuk Van Dijk","Good 4 U","0"
"Kiss From A Rose","Green Velvet","Kiss From A Rose","48"
"BLOW (WHITE GIRL IN TOWN) [feat. Kilo Ali]","Sosa UK","BLOW (WHITE GIRL IN TOWN) [feat. Kilo Ali]","71"
"PICK UP THE PHONE (feat. Nate Dogg)","PAWSA","PICK UP THE PHONE (feat. Nate Dogg)","75"
"New Bottega","Torren Foot","New Bottega","68"
"Who's That Girl - JL & Afterman Mix","Yvvan Back","Who's That Girl (JL & Afterman Mix)","53"
"Up To No Good","Joe Hunt","Up To No Good","54"
"Bounce to the Beat - Chris Stussy Remix - Edit","Todd Terry","Bounce To The Beat (2024 Remixes)","57"
"Summertime Blues (feat. Nathan Nicholson)","Chris Lake","Summertime Blues (feat. Nathan Nicholson)","69"
"It's Not Right But It's Okay","Mr. Belt & Wezol","It's Not Right But It's Okay","83"
"Somebody (2024)","Gotye","Somebody (2024)","80"
"So Good - Heat Mix","Blackchild (ITA)","So Good (Heat Mix)","51"
"Dance With You","Mohtiv","Dance With You","58"
"IDK","Azzecca","IDK","47"
"Happier (feat. Clementine Douglas)","The Blessed Madonna","Happier (feat. Clementine Douglas)","76"
"Feel It","Floorplan","Feel It","41"
"Sunshine (My Girl)","Wuki","Sunshine (My Girl)","75"
"Saving Up","Dom Dolla","Saving Up","74"
"How You Feel (Ft. Leven Kali)","ANOTR","How You Feel (Ft. Leven Kali)","73"
"Last Night","Loofy","Last Night","71"
"Need You","Selena Faider","Need You","43"
"Mind Still (feat. blythe)","Sonny Fodera","Mind Still (feat. blythe)","71"
"Shake It","Kyle Watson","Shake It","48"
"Jamming - FISHER Rework","Bob Marley & The Wailers","Jamming (FISHER Rework)","71"
"Weak","Vintage Culture","Weak","70"
"RIZZ","AYYBO","RIZZ","69"
"Fortnight (feat. Post Malone) - BLOND:ISH Remix","Taylor Swift","Fortnight (feat. Post Malone) [BLOND:ISH Remix]","68"
"girl$","Dom Dolla","girl$","73"
"Baddy On The Floor","Jamie xx","Baddy On The Floor","67"
"Vent","NOIT","Vent","67"
"Kimbara","Barry Can't Swim","Kimbara","67"
"Sippin' Yak","Cloonee","Sippin' Yak","66"
