album_id,album_name,album_release_date,album_total_tracks,album_url
1BuWrjAiFiHMHtCYHuUIKM,Never Walk Alone,2024-08-02,1,https://open.spotify.com/album/1BuWrjAiFiHMHtCYHuUIKM
6nIry8iPceW6XDXT8UTSUm,Locomotiva Ibiza 2099 II,2024-09-06,3,https://open.spotify.com/album/6nIry8iPceW6XDXT8UTSUm
5p6wULtzOrjrTlMUtrDnVr,4U,2024-08-30,1,https://open.spotify.com/album/5p6wULtzOrjrTlMUtrDnVr
58koXuocSFzeYdnmC4gyFK,Boost Up,2024-08-09,1,https://open.spotify.com/album/58koXuocSFzeYdnmC4gyFK
0tzUcNV1CNq8D6JYS2wosW,Get Busy (Odd Mob Club Mix),2024-05-24,1,https://open.spotify.com/album/0tzUcNV1CNq8D6JYS2wosW
4M8ThNHbNjda2cPwL8XZHS,Move,2024-06-07,1,https://open.spotify.com/album/4M8ThNHbNjda2cPwL8XZHS
73VTNr5Sfek6XuuudiVaM0,All My Friends Are Hot,2024-06-07,1,https://open.spotify.com/album/73VTNr5Sfek6XuuudiVaM0
17zk2lz0xesn8Y4YncohZa,TOO COOL TO BE CARELESS,2024-07-05,1,https://open.spotify.com/album/17zk2lz0xesn8Y4YncohZa
44hwz3eFAgDFt5NzOtBaqd,Receipts (feat. Gunna),2024-08-23,1,https://open.spotify.com/album/44hwz3eFAgDFt5NzOtBaqd
11pq24uahxvbUMhXhmRdcN,Find The Way,2024-08-16,1,https://open.spotify.com/album/11pq24uahxvbUMhXhmRdcN
76jQdtc4MNArbcZxWgZU3p,CORAÇAO (20th Anniversary Mix),2024-08-09,1,https://open.spotify.com/album/76jQdtc4MNArbcZxWgZU3p
4f92p1nVAtD3Kj3ytHgAsB,Set Me Free (feat. Robert Courtois),2024-08-30,2,https://open.spotify.com/album/4f92p1nVAtD3Kj3ytHgAsB
4rd5c66hQdMosQrB7O7zHi,Tell Me What You Want,2024-06-14,1,https://open.spotify.com/album/4rd5c66hQdMosQrB7O7zHi
3SrOkzgu1SmZ8CiChMbKSt,"She’s Gone, Dance On (Carlita Remix)",2024-07-05,2,https://open.spotify.com/album/3SrOkzgu1SmZ8CiChMbKSt
1kAnW1cV4wEOTAU1PcPUy2,B Good,2024-09-05,1,https://open.spotify.com/album/1kAnW1cV4wEOTAU1PcPUy2
4611D7Vc8zCLn49NiKqpjn,Feel My Needs,2024-07-19,2,https://open.spotify.com/album/4611D7Vc8zCLn49NiKqpjn
6KoGMkF6Fp3W9C339E5eVx,DIAMANTE,2024-07-26,16,https://open.spotify.com/album/6KoGMkF6Fp3W9C339E5eVx
2so0gk9JxwVcQaCUIOxRh2,It's That Time (FISHER Remix),2024-06-21,3,https://open.spotify.com/album/2so0gk9JxwVcQaCUIOxRh2
